sysTime,roll,pitch,yaw,ax,ay,az,sqrt,average
6:7:24:40:102754,19.43,8.69,-156.68,0.08,0.17,0.48,0.51,0.63
6:7:24:40:102850,20.8,12.96,-158.09,0.14,0.35,0.74,0.83,0.72
6:7:24:40:102946,22.3,14.72,-159.48,0.32,0.49,1.07,1.22,0.85
6:7:24:40:103058,25.15,12.99,-157.35,0.59,0.56,1.23,1.48,1.18
6:7:24:40:103138,26.29,15.63,-153.71,0.45,0.19,1.02,1.13,1.28
6:7:24:40:103234,27.7,19.33,-144.84,0.17,0.19,0.51,0.57,1.06
6:7:24:41:103695,19.58,14.1,-143.24,0.42,0.06,0.89,0.99,0.89
6:7:24:41:103743,16.34,12.93,-147.16,0.24,0.03,0.72,0.76,0.77
6:7:24:41:103855,13.47,13.99,-150.66,0.07,0.23,0.51,0.56,0.77
6:7:24:41:103934,9.91,14.73,-154.84,0.18,0.16,1.12,1.14,0.82
6:7:24:41:104063,11.45,14.53,-154.64,0.34,0.19,1.3,1.36,1.02
6:7:24:41:104175,14.43,14.37,-149.05,0.42,0.28,1.21,1.31,1.27
6:7:24:41:104238,14.86,18.45,-141.63,0.5,0.11,0.9,1.04,1.24
6:7:24:42:104669,14.91,13.34,-130.46,0.26,0.15,1.14,1.18,1.17
6:7:24:42:104749,15.27,12.7,-136.3,0.37,0.07,1.05,1.12,1.11
6:7:24:42:104845,14.98,12.44,-142.74,0.19,0.06,0.68,0.71,1.0
6:7:24:42:104989,15.04,13.97,-146.45,0.04,0.21,0.49,0.54,0.79
6:7:24:42:105037,13.86,12.74,-151.2,0.18,0.25,1.17,1.21,0.82
6:7:24:42:105165,16.23,11.27,-150.7,0.29,0.35,1.2,1.28,1.01
6:7:24:42:105261,18.48,13.3,-144.23,0.3,0.24,0.91,0.99,1.16
6:7:24:43:105650,16.81,12.22,-130.79,0.21,0.3,1.28,1.34,1.2
6:7:24:43:105746,14.48,12.35,-131.99,0.28,0.17,1.17,1.21,1.18
6:7:24:43:105843,13.31,11.13,-136.27,0.33,0.04,1.1,1.15,1.23
6:7:24:43:105954,12.4,10.14,-141.6,0.09,0.08,0.68,0.69,1.02
6:7:24:43:106050,9.17,10.73,-146.38,-0.02,0.21,0.57,0.6,0.81
