sysTime,serialLOG
6:7:23:56:59049,"%,1,6,37.02,34.99,-58.75,0.31,0.75,0.98,1.27,0.98
"
6:7:23:56:59176,"%,1,6,32.86,38.07,-62.40,0.65,0.50,1.17,1.43,1.25
"
6:7:23:56:59256,"%,1,6,33.08,38.05,-65.43,0.53,0.48,0.65,0.97,1.22
"
6:7:23:56:59304,"%,3,2,4,1
"
6:7:23:56:59305,"%,4,1,3
"
6:7:23:57:59591,"%,2,6,37.2896499,127.0654449,69.20,12,1.31,308.55
"
6:7:23:57:59606,"%,5,2,373.28,228.31
"
6:7:23:57:59655,"%,1,6,35.52,28.50,-79.66,0.40,0.88,0.86,1.29,1.23
"
6:7:23:57:59751,"%,1,6,39.54,29.89,-73.92,0.60,0.78,0.79,1.26,1.17
"
6:7:23:57:59894,"%,1,6,44.05,32.93,-67.58,0.35,0.63,0.53,0.90,1.15
"
6:7:23:57:59975,"%,1,6,44.80,34.93,-63.52,0.27,0.46,0.55,0.77,0.97
"
6:7:23:57:60071,"%,1,6,44.71,36.49,-57.73,0.24,0.52,0.71,0.91,0.86
"
6:7:23:57:60151,"%,1,6,41.32,31.72,-54.96,0.25,0.63,0.70,0.97,0.88
"
6:7:23:57:60247,"%,1,6,40.03,27.77,-55.78,0.49,0.70,0.85,1.21,1.03
"
6:7:23:57:60294,"%,3,2,4,1
"
6:7:23:57:60294,"%,4,1,3
"
6:7:23:57:60294,"%,7,1,0
"
6:7:23:58:60604,"%,2,6,37.2896537,127.0654449,69.10,12,1.32,312.31
"
6:7:23:58:60605,"%,5,2,373.28,228.31
"
6:7:23:58:60636,"%,1,6,46.35,28.28,-74.09,0.20,0.70,0.55,0.91,1.03
"
6:7:23:58:60748,"%,1,6,47.21,23.83,-74.31,0.17,0.90,0.77,1.20,1.11
"
6:7:23:58:60844,"%,1,6,49.43,24.58,-70.40,0.37,0.96,0.74,1.26,1.12
"
6:7:23:58:61052,"%,1,6,54.14,25.33,-58.87,0.48,0.84,0.35,1.03,1.16
"
6:7:23:58:61068,"%,1,6,57.90,23.13,-51.35,0.37,0.60,0.46,0.84,1.04
"
6:7:23:58:61148,"%,1,6,57.85,23.69,-46.77,0.16,0.42,0.38,0.59,0.82
"
6:7:23:58:61244,"%,1,6,56.66,24.72,-43.47,0.18,0.71,0.67,0.99,0.81
"
6:7:23:58:61307,"%,3,2,4,1
"
6:7:23:58:61307,"%,4,1,3
"
6:7:23:59:61609,"%,2,6,37.2896652,127.0654373,68.90,12,1.13,315.63
"
6:7:23:59:61610,"%,5,2,373.66,228.09
"
6:7:23:59:61641,"%,1,6,52.37,25.51,-52.77,0.27,0.51,0.37,0.69,0.76
"
6:7:23:59:61736,"%,1,6,54.17,21.32,-59.44,0.06,0.53,0.34,0.63,0.77
"
6:7:23:59:61832,"%,1,6,53.26,17.49,-66.98,0.21,0.81,0.63,1.04,0.79
"
6:7:23:59:61944,"%,1,6,53.73,15.58,-68.02,0.26,1.05,0.64,1.26,0.98
"
6:7:23:59:62056,"%,1,6,55.21,16.39,-63.45,0.37,0.98,0.54,1.18,1.16
"
6:7:23:59:62152,"%,1,6,57.60,17.20,-57.10,0.36,0.88,0.45,1.06,1.17
"
6:7:23:59:62247,"%,1,6,60.40,18.24,-51.98,0.13,0.56,0.29,0.65,0.96
"
6:7:23:59:62279,"%,3,2,4,1
"
6:7:23:59:62295,"%,4,1,3
"
6:7:24:0:62647,"%,2,6,37.2896690,127.0654220,69.00,12,1.37,314.59
"
6:7:24:0:62647,"%,5,2,373.04,227.88
"
6:7:24:0:62664,"%,1,6,46.27,21.05,-55.63,0.45,0.73,0.83,1.20,0.97
"
6:7:24:0:62759,"%,1,6,45.22,21.05,-59.06,0.22,0.62,0.44,0.79,0.88
"
6:7:24:0:62872,"%,1,6,46.60,20.62,-61.71,0.16,0.50,0.37,0.64,0.88
"
6:7:24:0:62952,"%,1,6,47.70,18.69,-65.96,0.11,0.62,0.52,0.82,0.75
"
6:7:24:0:63080,"%,1,6,48.95,16.65,-68.94,0.21,0.91,0.70,1.16,0.87
"
6:7:24:0:63159,"%,1,6,50.37,16.29,-67.19,0.41,1.08,0.77,1.39,1.12
"
6:7:24:0:63240,"%,1,6,53.96,18.60,-62.00,0.32,0.89,0.39,1.02,1.19
"
6:7:24:0:63303,"%,3,2,4,1
"
6:7:24:0:63303,"%,4,1,3
"
6:7:24:1:63598,"%,2,6,37.2896766,127.0654067,69.10,12,1.27,314.24
"
6:7:24:1:63614,"%,5,2,372.80,227.61
"
6:7:24:1:63758,"%,1,6,51.88,21.65,-52.35,0.32,0.85,0.75,1.18,1.20
"
6:7:24:1:63791,"%,1,6,48.42,22.69,-57.79,0.60,0.94,0.97,1.48,1.23
"
6:7:24:1:63855,"%,1,6,49.67,22.71,-64.51,0.39,0.66,0.56,0.95,1.20
"
6:7:24:1:63966,"%,1,6,51.56,20.96,-70.83,0.15,0.45,0.31,0.57,1.00
"
6:7:24:1:64047,"%,1,6,52.68,21.30,-74.56,0.16,0.55,0.41,0.70,0.74
"
6:7:24:1:64142,"%,1,6,55.12,19.37,-74.75,0.22,0.93,0.60,1.13,0.80
"
6:7:24:1:64239,"%,1,6,56.34,21.25,-70.45,0.33,1.09,0.67,1.32,1.05
"
6:7:24:1:64302,"%,3,2,3,1
"
6:7:24:1:64302,"%,4,1,3
"
6:7:24:2:64830,"%,2,6,37.2896881,127.0653991,68.80,11,1.34,316.57
"
6:7:24:2:64894,"%,5,2,373.33,227.37
"
6:7:24:2:64933,"%,1,6,52.72,23.14,-56.50,0.34,0.62,0.68,0.98,1.14
"
6:7:24:2:64934,"%,1,6,50.12,22.82,-55.84,0.41,0.86,0.81,1.26,1.19
"
6:7:24:2:64935,"%,1,6,48.81,23.12,-58.84,0.55,0.88,0.86,1.35,1.19
"
6:7:24:2:64981,"%,1,6,50.70,23.91,-61.80,0.50,0.61,0.63,1.01,1.21
"
6:7:24:2:65046,"%,1,6,54.88,21.86,-62.19,0.21,0.51,0.30,0.63,1.00
"
6:7:24:2:65141,"%,1,6,56.06,19.14,-65.41,0.11,0.65,0.37,0.76,0.80
"
6:7:24:2:65253,"%,1,6,56.32,17.85,-69.50,0.26,0.92,0.61,1.13,0.84
"
6:7:24:2:65300,"%,3,2,4,1
"
6:7:24:2:65300,"%,4,1,3
"
6:7:24:2:65300,"%,7,1,0
"
6:7:24:3:65605,"%,2,6,37.2896957,127.0653991,68.60,11,1.17,314.60
"
6:7:24:3:65607,"%,5,2,373.46,227.35
"
6:7:24:3:65637,"%,1,6,58.73,11.50,-55.23,0.08,0.52,0.37,0.64,0.84
"
6:7:24:3:65764,"%,1,6,56.72,12.21,-53.14,0.03,0.69,0.59,0.91,0.89
"
6:7:24:3:65876,"%,1,6,55.75,14.23,-52.10,0.27,0.88,0.79,1.21,0.92
"
6:7:24:3:65941,"%,1,6,54.41,16.17,-54.59,0.50,1.09,0.91,1.50,1.21
"
6:7:24:3:66053,"%,1,6,54.38,19.13,-59.02,0.37,0.76,0.52,1.00,1.24
"
6:7:24:3:66148,"%,1,6,55.11,19.05,-65.13,0.21,0.60,0.41,0.76,1.09
"
6:7:24:3:66276,"%,1,6,57.25,16.79,-70.38,0.02,0.54,0.34,0.64,0.80
"
6:7:24:3:66292,"%,3,2,4,1
"
6:7:24:3:66292,"%,4,1,3
"
6:7:24:4:66645,"%,2,6,37.2896995,127.0653839,68.60,11,1.03,307.85
"
6:7:24:4:66692,"%,5,2,372.85,227.14
"
6:7:24:4:66708,"%,1,6,61.03,15.07,-64.16,0.28,0.95,0.34,1.05,0.82
"
6:7:24:4:66756,"%,1,6,60.04,14.91,-60.79,0.14,0.52,0.32,0.63,0.77
"
6:7:24:4:66837,"%,1,6,58.33,14.70,-58.66,0.03,0.47,0.40,0.62,0.77
"
6:7:24:4:66949,"%,1,6,60.31,13.75,-56.84,0.13,0.96,0.67,1.17,0.81
"
