gpsTime,sysTime,Lat,Lng,Alt,speed,course,bearing,dist,ctlangle,isWindCheck,isCheckWind
not defined yet,6:9:35:17:165939,37.289234,127.06544,193.5,3.48,201.72,335.75,59.29,88.74,,0
not defined yet,6:9:35:18:166944,37.289192,127.065384,190.1,7.13,225.51,340.25,62.07,138.53,,0
not defined yet,6:9:35:19:167919,37.28918,127.06533,187.1,3.34,265.34,345.58,65.22,120.07,,0
not defined yet,6:9:35:20:168895,37.289173,127.065346,184.8,2.15,171.97,349.77,64.76,84.43,,0
not defined yet,6:9:35:21:169962,37.289135,127.06533,182.0,5.8,196.02,348.76,65.95,176.79,,0
not defined yet,6:9:35:22:170941,37.28911,127.06529,179.8,5.49,243.4,350.54,69.99,154.52,,0
not defined yet,6:9:35:23:171983,37.289097,127.065285,176.0,0.64,226.95,353.64,73.29,110.24,,0
not defined yet,6:9:35:24:172889,37.289066,127.065285,173.5,5.02,182.22,354.18,73.4,127.23,,0
not defined yet,6:9:35:25:173911,37.28904,127.06523,170.1,5.84,245.02,354.47,77.18,172.25,,0
not defined yet,6:9:35:26:174888,37.289036,127.065216,166.9,0.56,250.7,358.06,79.9,113.04,,0
not defined yet,6:9:35:27:175885,37.289,127.06521,163.5,5.73,187.44,359.03,80.25,108.33,,0
not defined yet,6:9:35:28:176916,37.288975,127.06516,160.6,5.7,242.22,359.54,83.65,172.1,,0
not defined yet,6:9:35:29:177929,37.28898,127.065125,157.5,2.24,289.48,2.23,86.94,120.01,,0
not defined yet,6:9:35:30:178909,37.288963,127.06514,154.6,3.06,177.2,4.45,87.14,74.97,,0
not defined yet,6:9:35:31:179891,37.28892,127.06512,151.8,6.3,212.11,3.52,88.18,-173.68,,0
not defined yet,6:9:35:32:180887,37.28889,127.06506,149.9,5.41,235.59,4.57,93.43,152.46,,0
not defined yet,6:9:35:33:181901,37.28886,127.065025,147.8,4.87,226.39,7.2,97.12,131.61,,0
not defined yet,6:9:35:34:182948,37.288826,127.06497,145.1,5.93,228.48,8.95,100.04,142.56,,0
not defined yet,6:9:35:35:183948,37.288795,127.064926,143.3,5.25,234.82,11.19,104.6,142.71,,0
not defined yet,6:9:35:36:184891,37.288773,127.06489,140.9,3.84,228.01,12.91,108.98,138.09,,0
not defined yet,6:9:35:37:185919,37.28874,127.06486,138.0,4.83,208.01,14.25,112.72,146.24,,0
not defined yet,6:9:35:38:186902,37.288696,127.06485,136.5,4.15,197.28,15.05,117.26,167.04,,0
not defined yet,6:9:35:39:187940,37.288666,127.064835,135.8,4.0,203.82,14.87,121.28,177.59,,0
not defined yet,6:9:35:40:188924,37.28864,127.064804,135.0,3.63,214.74,15.04,125.11,171.22,,0
not defined yet,6:9:35:41:189939,37.288612,127.064766,134.0,4.55,224.6,15.83,128.94,161.09,,0
not defined yet,6:9:35:42:190941,37.288593,127.06474,133.6,2.84,228.13,16.93,132.44,152.33,,0
not defined yet,6:9:35:43:191900,37.28858,127.064705,132.1,2.99,239.43,17.42,135.58,149.29,,0
not defined yet,6:9:35:44:192905,37.288563,127.06467,130.2,5.03,245.25,18.67,137.35,139.24,,0
not defined yet,6:9:35:45:193922,37.288555,127.06461,129.3,4.71,255.08,19.66,140.79,134.41,,0
not defined yet,6:9:35:46:194907,37.288555,127.06457,127.9,4.44,273.88,21.28,143.51,126.2,,0
not defined yet,6:9:35:47:195917,37.288555,127.0645,126.3,5.83,267.9,22.75,145.21,108.87,,0
not defined yet,6:9:35:48:196908,37.28855,127.06445,125.5,4.31,262.75,24.96,147.5,117.06,,0
not defined yet,6:9:35:49:197909,37.288555,127.06441,124.1,3.17,281.45,26.34,149.43,123.59,,0
not defined yet,6:9:35:50:198922,37.288574,127.06437,122.4,4.17,308.45,27.75,151.1,106.3,,0
not defined yet,6:9:35:51:199917,37.288593,127.06433,121.5,3.78,296.64,29.36,150.39,80.91,,0
