sysTime,roll,pitch,yaw,ax,ay,az
4:7:53:7:55242,-19.6,60.5,-93.05,0.7,-0.3,0.53
4:7:53:8:55354,-18.01,61.56,-82.44,0.7,-0.4,0.63
4:7:53:8:55434,-24.56,59.78,-77.54,0.64,-0.54,0.67
4:7:53:8:55949,32.32,75.51,43.84,1.09,0.26,0.13
4:7:53:8:56045,47.17,76.96,60.1,1.16,-0.27,0.73
4:7:53:8:56141,49.46,79.74,68.93,0.84,-0.43,0.86
4:7:53:8:56253,54.28,78.3,87.63,0.62,0.23,0.22
4:7:53:8:56332,85.5,72.52,120.14,0.55,-0.08,0.29
4:7:53:9:56444,89.42,72.96,121.96,0.9,-0.42,0.29
4:7:53:9:56950,125.13,56.41,151.75,0.79,-0.21,0.36
4:7:53:9:57046,120.48,58.01,149.2,1.04,-0.11,0.29
4:7:53:9:57142,126.35,55.6,156.54,0.88,-0.65,0.69
4:7:53:9:57254,117.13,52.56,152.34,0.84,-0.56,0.91
4:7:53:10:57350,103.51,50.38,142.67,0.79,0.09,0.22
4:7:53:10:57445,107.99,43.65,148.28,0.55,-0.41,0.26
4:7:53:10:57930,110.03,40.75,151.65,0.79,-0.23,0.32
4:7:53:10:58107,110.16,37.54,155.91,0.83,-0.04,0.34
4:7:53:10:58171,105.32,39.69,155.5,1.08,0.04,0.38
4:7:53:10:58250,107.16,37.57,162.68,0.82,-0.45,0.8
4:7:53:10:58331,103.97,37.39,166.82,0.71,-0.6,0.71
4:7:53:11:58442,97.94,38.46,164.5,0.64,-0.24,0.08
4:7:53:11:58994,96.15,30.19,161.88,0.6,-0.33,0.45
4:7:53:11:59058,96.91,28.46,163.55,0.71,-0.24,0.4
4:7:53:11:59144,96.87,34.9,162.28,0.85,-0.24,0.47
4:7:53:11:59224,100.36,40.31,164.05,0.68,-0.57,0.59
4:7:53:12:59352,87.5,45.74,159.97,0.53,-0.45,0.63
4:7:53:12:59448,78.76,37.7,159.21,0.77,0.02,0.49
4:7:53:12:59932,112.52,53.71,-166.73,0.44,-0.68,0.42
4:7:53:12:60028,97.43,48.91,-176.87,0.84,-0.29,0.47
4:7:53:12:60140,91.26,50.56,176.55,0.76,-0.33,0.4
4:7:53:12:60252,92.66,53.48,176.71,0.85,-0.17,0.27
4:7:53:13:60348,106.52,56.67,-173.29,0.83,-0.56,0.44
4:7:53:13:60459,119.95,53.87,-160.55,0.75,-0.71,0.59
4:7:53:13:60854,119.82,50.42,-160.66,0.79,-0.47,0.35
4:7:53:13:60945,116.08,53.15,-166.66,0.94,-0.46,0.55
4:7:53:13:61089,114.44,51.67,-169.53,0.71,-0.42,0.45
4:7:53:13:61169,114.74,46.57,-170.54,0.66,-0.37,0.34
4:7:53:13:61247,112.98,51.41,-173.44,0.74,-0.48,0.39
4:7:53:14:61376,108.43,56.86,-177.2,0.91,-0.31,0.37
4:7:53:14:61440,112.84,58.67,-172.72,0.84,-0.64,0.57
4:7:53:14:61857,86.99,54.6,173.38,0.86,-0.21,0.53
4:7:53:14:61933,80.34,54.94,168.36,0.86,-0.25,0.46
4:7:53:14:62061,90.46,54.95,175.88,0.63,-0.54,0.43
4:7:53:14:62141,90.96,56.91,175.42,1.04,-0.33,0.58
4:7:53:14:62269,102.08,63.2,-174.94,0.75,-0.59,0.48
4:7:53:14:62332,112.81,60.81,-162.75,0.68,-0.61,0.45
4:7:53:15:62524,112.47,56.15,-161.47,0.66,-0.51,0.31
4:7:53:15:62997,98.74,53.38,-171.19,0.73,-0.34,0.32
4:7:53:15:63061,109.45,55.2,-162.05,0.69,-0.69,0.43
4:7:53:15:63141,105.59,52.48,-164.24,0.85,-0.36,0.45
4:7:53:15:63252,102.73,47.35,-164.45,0.8,-0.17,0.28
4:7:53:16:63364,105.39,49.64,-165.33,0.8,-0.69,0.44
4:7:53:16:63445,101.65,49.66,-168.28,1.01,-0.11,0.43
4:7:53:16:63959,108.8,48,-162.78,0.72,-0.54,0.42
4:7:53:16:64056,104.33,43.49,-163.5,0.8,-0.32,0.41
4:7:53:16:64167,102.18,42.79,-164.39,0.77,-0.32,0.4
4:7:53:16:64248,99.09,45.9,-166.09,0.94,-0.08,0.41
4:7:53:17:64375,104.72,51.05,-163.05,0.97,-0.53,0.5
4:7:53:17:64423,107.71,48.92,-161.13,0.68,-0.34,0.29
4:7:53:17:64951,111.35,48.76,-157.21,0.72,-0.29,0.28
4:7:53:17:65063,113.96,53.86,-161.82,0.98,-0.43,0.56
4:7:53:17:65159,113.79,56.39,-164.48,0.86,-0.48,0.54
4:7:53:17:65240,106.93,48.23,-166.11,0.88,-0.32,0.69
4:7:53:18:65399,101.43,45.53,-166.04,0.75,-0.18,0.46
4:7:53:18:65430,98.53,43.17,-165.01,0.85,-0.18,0.45
4:7:53:18:65869,64.54,24.32,-171.6,0.91,0.11,0.74
4:7:53:18:65943,57.64,16.87,-167.1,0.9,0.2,0.54
4:7:53:18:66040,55.76,18.13,-162.19,0.75,-0.05,0.65
4:7:53:18:66136,54.56,19.63,-159.42,0.78,-0.23,0.72
4:7:53:18:66263,52.53,19.04,-155.79,0.84,-0.02,0.46
4:7:53:18:66342,43.7,23.79,-154.92,0.84,-0.08,0.42
4:7:53:19:66438,37.86,26.02,-151.12,0.88,-0.16,0.42
