sysTime,roll,pitch,yaw,ax,ay,az,root,ave
4:10:5:11:205602,0.8,3.8,-146.06,0.07,0.04,0.92,0.923525852,1.005209414
4:10:5:11:205730,0.79,3.7,-145.97,0,-0.07,0.91,0.912688337,0.962483852
4:10:5:11:205810,0.76,3.56,-145.86,-0.06,0.01,1.02,1.021812116,0.952675435
4:10:5:12:206316,-0.01,2.84,-144.99,-0.05,-0.02,1,1.00144895,0.978649801
4:10:5:12:206429,-0.1,2.8,-145.06,-0.15,0.14,0.91,0.93284511,0.985368725
4:10:5:12:206524,-0.33,2.91,-145.03,0.15,0.02,0.95,0.961977131,0.96542373
4:10:5:12:206620,-0.46,2.48,-144.94,0.11,-0.09,1.08,1.089311709,0.994711317
4:10:5:12:206732,-0.62,2.28,-144.8,0.01,0.06,0.98,0.98188594,1.01105826
4:10:5:12:206795,-0.58,1.95,-144.71,0.31,-0.03,0.88,0.933488082,1.001561911
4:10:5:13:207328,0.21,2.04,-144.1,-0.15,0.04,0.96,0.972471079,0.962615034
4:10:5:13:207424,0.64,1.86,-144.01,0.06,0.01,0.99,0.991866927,0.965942029
4:10:5:13:207504,0.96,1.73,-143.99,-0.01,-0.05,1.05,1.051237366,1.005191791
4:10:5:13:207599,1.46,1.4,-144.44,-0.24,0.16,0.96,1.002397127,1.01516714
4:10:5:13:207712,1.64,1.55,-144.73,0.09,0,1.03,1.033924562,1.029186352
4:10:5:14:207919,1.64,1.12,-144.94,-0.16,0.01,1,1.012768483,1.016363391
4:10:5:14:208300,-0.04,1.09,-144.32,0.15,0.02,0.99,1.001498877,1.016063974
4:10:5:14:208460,0.11,1.41,-144.28,0.06,0.15,0.86,0.875042856,0.963103405
4:10:5:14:208540,0.3,1.79,-144.18,0.14,-0.07,0.98,0.992421282,0.956321005
4:10:5:14:208604,0.92,1.95,-144.09,-0.14,0.02,1.02,1.029757253,0.965740464
4:10:5:14:208700,1.34,2.14,-144.06,0.16,0.04,0.95,0.964209521,0.995462685
