sysTime,serialLOG
11:22:42:35:26375,"%,1,6,2.61,-3.18,-78.16,-0.05,0.03,0.99
"
11:22:42:35:26506,"%,1,6,2.61,-3.18,-78.22,-0.06,0.04,0.96
"
11:22:42:35:26583,"%,1,6,2.62,-3.16,-78.30,-0.06,0.04,0.98
"
11:22:42:35:26679,"%,1,6,2.61,-3.16,-78.38,-0.05,0.05,0.99
"
11:22:42:35:26774,"%,1,6,2.60,-3.16,-78.42,-0.06,0.03,0.99
"
11:22:42:35:26870,"%,1,6,2.62,-3.16,-78.48,-0.06,0.03,1.00
"
11:22:42:35:26982,"%,1,6,2.62,-3.15,-78.53,-0.07,0.04,0.97
"
11:22:42:36:27079,"%,1,6,2.61,-3.16,-78.59,-0.04,0.04,0.97
"
11:22:42:36:27221,"%,3,1,3
"
11:22:42:36:27221,"%,4,1,4
"
11:22:42:37:28212,"%,3,1,3
"
11:22:42:37:28212,"%,4,1,4
"
11:22:42:37:28340,"%,2,6,37.3548469,127.1184692,54.40,12,0.00,211.59
"
11:22:42:37:28341,"%,5,2,8762.59,214.64
"
11:22:42:37:28362,"[426541] Turn winch(auto):
"
11:22:42:37:28363,"[426541] 3.05
"
11:22:42:37:28363,"%,6,2,3.05,-22.65
"
11:22:42:37:28364,"%,1,6,2.60,-3.21,-78.93,-0.05,0.05,0.99
"
11:22:42:37:28474,"%,1,6,2.59,-3.21,-78.95,-0.06,0.04,0.99
"
11:22:42:37:28570,"%,1,6,2.59,-3.22,-78.98,-0.06,0.02,0.98
"
11:22:42:37:28667,"%,1,6,2.60,-3.22,-78.99,-0.06,0.04,0.97
"
11:22:42:37:28794,"%,1,6,2.60,-3.24,-78.92,-0.05,0.05,0.99
"
11:22:42:37:28873,"%,1,6,2.59,-3.24,-78.90,-0.05,0.06,0.99
"
11:22:42:37:28969,"%,1,6,2.59,-3.25,-78.86,-0.05,0.03,1.00
"
11:22:42:38:29067,"%,1,6,2.60,-3.25,-78.85,-0.06,0.04,0.98
"
11:22:42:38:29192,"%,3,1,2
"
11:22:42:38:29192,"%,4,1,4
"
11:22:42:39:30215,"%,3,1,2
"
11:22:42:39:30215,"%,4,1,4
"
11:22:42:39:30343,"%,2,6,37.3548469,127.1184692,55.00,12,0.04,211.59
"
11:22:42:39:30365,"%,5,2,8762.59,214.64
"
11:22:42:39:30367,"[428555] Turn winch(auto):
"
11:22:42:39:30368,"[428555] 3.05
"
11:22:42:39:30369,"%,6,2,3.05,-22.65
"
11:22:42:39:30381,"%,1,6,2.60,-3.22,-78.81,-0.06,0.04,0.97
"
11:22:42:39:30477,"%,1,6,2.60,-3.21,-78.81,-0.06,0.05,0.98
"
11:22:42:39:30558,"%,1,6,2.60,-3.22,-78.80,-0.06,0.05,0.99
"
11:22:42:39:30684,"%,1,6,2.59,-3.23,-78.80,-0.06,0.04,0.99
"
11:22:42:39:30781,"%,1,6,2.61,-3.23,-78.80,-0.07,0.03,0.99
"
11:22:42:39:30860,"%,1,6,2.61,-3.22,-78.79,-0.07,0.04,0.97
"
11:22:42:39:30988,"%,1,6,2.60,-3.22,-78.78,-0.05,0.04,0.99
"
11:22:42:39:31052,"%,1,6,2.59,-3.22,-78.79,-0.06,0.04,0.99
"
11:22:42:40:31195,"%,3,1,2
"
11:22:42:40:31195,"%,4,1,4
"
11:22:42:41:32204,"%,3,1,3
"
11:22:42:41:32204,"%,4,1,4
"
11:22:42:41:32364,"%,2,6,37.3548469,127.1184692,55.60,12,0.00,211.59
"
11:22:42:41:32365,"%,5,2,8762.59,214.64
"
11:22:42:41:32366,"[430563] Turn winch(auto):
"
11:22:42:41:32366,"[430563] 3.05
"
11:22:42:41:32366,"%,6,2,3.05,-22.65
"
11:22:42:41:32381,"%,1,6,2.59,-3.24,-78.79,-0.06,0.04,0.99
"
11:22:42:41:32461,"%,1,6,2.60,-3.23,-78.80,-0.06,0.02,0.98
"
11:22:42:41:32570,"%,1,6,2.60,-3.23,-78.80,-0.06,0.04,0.98
"
11:22:42:41:32667,"%,1,6,2.60,-3.22,-78.80,-0.03,0.05,0.97
"
11:22:42:41:32764,"%,1,6,2.59,-3.23,-78.81,-0.05,0.05,0.98
"
11:22:42:41:32861,"%,1,6,2.60,-3.23,-78.80,-0.05,0.03,0.99
"
11:22:42:41:32987,"%,1,6,2.61,-3.23,-78.82,-0.07,0.05,0.97
"
11:22:42:41:33052,"%,1,6,2.61,-3.23,-78.83,-0.03,0.02,0.97
"
11:22:42:42:33178,"%,3,1,3
"
11:22:42:42:33178,"%,4,1,4
"
11:22:42:43:34184,"%,3,1,3
"
11:22:42:43:34184,"%,4,1,4
"
11:22:42:43:34344,"%,2,6,37.3548469,127.1184692,56.10,12,0.00,211.59
"
11:22:42:43:34344,"%,5,2,8762.59,214.64
"
11:22:42:43:34372,"[432573] Turn winch(auto):
"
11:22:42:43:34373,"[432573] 3.05
"
11:22:42:43:34374,"%,6,2,3.05,-22.65
"
11:22:42:43:34405,"%,1,6,2.58,-3.35,-77.18,-0.04,0.05,0.98
"
11:22:42:43:34483,"%,1,6,2.58,-3.35,-77.11,-0.06,0.05,0.99
"
11:22:42:43:34579,"%,1,6,2.57,-3.35,-77.04,-0.06,0.03,0.99
"
11:22:42:43:34675,"%,1,6,2.59,-3.35,-76.96,-0.07,0.04,0.98
"
11:22:42:43:34772,"%,1,6,2.59,-3.33,-76.93,-0.06,0.04,0.97
"
11:22:42:43:34868,"%,1,6,2.58,-3.33,-76.88,-0.05,0.06,0.98
"
11:22:42:43:34962,"%,1,6,2.57,-3.32,-76.83,-0.05,0.03,0.99
"
11:22:42:44:35074,"%,1,6,2.58,-3.32,-76.80,-0.06,0.03,0.98
"
11:22:42:44:35186,"%,3,1,3
"
11:22:42:44:35187,"%,4,1,4
"
11:22:42:45:36161,"%,3,1,3
"
11:22:42:45:36162,"%,4,1,4
"
11:22:42:45:36371,"%,2,6,37.3548469,127.1184692,56.50,12,0.00,211.59
"
11:22:42:45:36372,"%,5,2,8762.59,214.64
"
11:22:42:45:36373,"[434582] Turn winch(auto):
"
11:22:42:45:36373,"[434583] 3.05
"
11:22:42:45:36374,"%,6,2,3.05,-22.65
"
11:22:42:45:36387,"%,1,6,2.62,-3.26,-76.55,-0.06,0.03,0.98
"
11:22:42:45:36468,"%,1,6,2.62,-3.25,-76.53,-0.06,0.04,0.99
"
11:22:42:45:36566,"%,1,6,2.61,-3.25,-76.53,-0.04,0.05,0.98
"
11:22:42:45:36664,"%,1,6,2.60,-3.25,-76.52,-0.07,0.03,0.98
"
11:22:42:45:36789,"%,1,6,2.62,-3.26,-76.50,-0.06,0.03,1.00
"
11:22:42:45:36868,"%,1,6,2.62,-3.23,-76.60,-0.08,0.04,0.97
"
11:22:42:45:36965,"%,1,6,2.62,-3.19,-76.79,-0.05,0.04,0.98
"
11:22:42:46:37077,"%,1,6,2.62,-3.16,-76.96,-0.06,0.05,0.99
"
11:22:42:46:37171,"%,3,1,3
"
11:22:42:46:37171,"%,4,1,4
"
11:22:42:47:38163,"%,3,1,3
"
11:22:42:47:38164,"%,4,1,4
"
11:22:42:47:38372,"%,2,6,37.3548469,127.1184692,56.80,12,0.04,211.59
"
11:22:42:47:38373,"%,5,2,8762.59,214.64
"
11:22:42:47:38374,"[436591] Turn winch(auto):
"
11:22:42:47:38374,"[436592] 3.05
"
11:22:42:47:38375,"%,6,2,3.05,-22.65
"
11:22:42:47:38377,"%,1,6,2.62,-3.15,-78.17,-0.06,0.05,0.99
"
11:22:42:47:38467,"%,1,6,2.62,-3.15,-78.22,-0.06,0.02,0.99
"
11:22:42:47:38566,"%,1,6,2.63,-3.16,-78.28,-0.07,0.05,0.98
"
11:22:42:47:38661,"%,1,6,2.63,-3.15,-78.32,-0.04,0.04,0.98
"
11:22:42:47:38770,"%,1,6,2.61,-3.17,-78.35,-0.05,0.06,1.00
"
11:22:42:47:38868,"%,1,6,2.61,-3.18,-78.38,-0.05,0.03,1.00
"
11:22:42:47:38963,"%,1,6,2.63,-3.18,-78.42,-0.06,0.04,0.97
"
11:22:42:48:39076,"%,1,6,2.62,-3.18,-78.46,-0.05,0.05,0.99
"
11:22:42:48:39155,"%,3,1,3
"
11:22:42:48:39155,"%,4,1,4
"
11:22:42:49:40161,"%,3,1,3
"
11:22:42:49:40162,"%,4,1,4
"
11:22:42:49:40365,"%,2,6,37.3548469,127.1184692,57.00,12,0.04,211.59
"
11:22:42:49:40366,"%,5,2,8762.59,214.64
"
11:22:42:49:40367,"[438601] Turn winch(auto):
"
11:22:42:49:40368,"[438601] 3.05
"
11:22:42:49:40368,"%,6,2,3.05,-22.65
"
11:22:42:49:40379,"%,1,6,2.61,-3.21,-78.58,-0.06,0.05,0.99
"
11:22:42:49:40476,"%,1,6,2.60,-3.22,-78.58,-0.05,0.04,0.98
"
11:22:42:49:40571,"%,1,6,2.59,-3.25,-78.50,-0.07,0.03,0.98
"
11:22:42:49:40667,"%,1,6,2.60,-3.25,-78.51,-0.06,0.03,1.00
"
11:22:42:49:40765,"%,1,6,2.60,-3.24,-78.53,-0.07,0.04,0.97
"
11:22:42:49:40875,"%,1,6,2.60,-3.24,-78.54,-0.04,0.04,0.98
"
