sysTime,roll,pitch,yaw,ax,ay,az
4:23:52:9:567749,64.26,70.16,10.07,0.93,0.29,0.17
4:23:52:9:567846,63.93,70.3,9.59,0.94,0.27,0.15
4:23:52:9:567941,64.77,69.5,10.14,0.93,0.31,0.15
4:23:52:9:568053,65.65,68.64,10.66,0.92,0.32,0.15
4:23:52:9:568245,67.82,66.26,12.53,0.9,0.38,0.16
4:23:52:9:568341,68.02,65.59,12.71,0.89,0.38,0.17
4:23:52:9:568437,69.46,64.5,13.46,0.87,0.43,0.15
4:23:52:9:568533,70.04,63.7,14.16,0.84,0.48,0.15
4:23:52:9:568644,70.2,63.58,14.4,0.87,0.43,0.11
4:23:52:10:568756,70.03,63.65,14.79,0.88,0.43,0.14
4:23:52:10:568852,69.39,64.12,15.17,0.88,0.42,0.15
4:23:52:10:569444,67.51,66.07,13.01,0.93,0.35,0.15
4:23:52:10:569540,68.03,65.45,13.44,0.87,0.43,0.13
4:23:52:10:569636,68.29,65.25,13.76,0.9,0.37,0.18
4:23:52:11:569731,70.03,64.42,14.54,0.86,0.45,0.11
4:23:52:11:569860,69.66,64.63,13.95,0.9,0.39,0.19
4:23:52:11:569955,70.65,64.25,15.14,0.9,0.4,0.17
4:23:52:11:570051,69.92,64.59,14.88,0.9,0.39,0.13
4:23:52:11:570244,69.7,64.42,15.2,0.88,0.41,0.15
4:23:52:11:570355,69.23,65.06,15.41,0.9,0.38,0.14
4:23:52:11:570451,68.06,65.88,14.7,0.91,0.36,0.16
4:23:52:11:570547,67.65,66.47,14.34,0.9,0.35,0.15
4:23:52:11:570643,67.98,66.93,14.61,0.91,0.36,0.14
4:23:52:12:570739,67.45,67.64,13.74,0.91,0.36,0.14
4:23:52:12:570835,67.4,67.58,12.54,0.87,0.43,0.14
4:23:52:12:571442,67.84,67.62,13.71,0.92,0.34,0.14
4:23:52:12:571538,68.55,67.04,14.14,0.9,0.37,0.14
4:23:52:12:571635,68.62,66.92,14.25,0.91,0.36,0.15
