gpsTime,sysTime,Lat,Lng,Alt,speed,course,bearing,dist,ctlangle,isWindCheck,isCheckWind
not defined yet,6:10:13:41:194048,37.288677,127.06457,129.8,0.65,335.1,19.39,138.55,88.63,,0
not defined yet,6:10:13:42:195061,37.288677,127.064575,126.9,0.44,5.32,19.42,138.37,44.32,,0
not defined yet,6:10:13:43:196071,37.28868,127.064575,124.1,0.2,5.32,19.18,137.97,13.86,,0
not defined yet,6:10:13:44:197057,37.28869,127.064575,121.1,1.28,325.73,19.34,136.89,14.02,,0
not defined yet,6:10:13:45:198081,37.288696,127.06455,118.4,1.97,293.38,19.39,136.54,53.66,,0
not defined yet,6:10:13:46:199022,37.288692,127.06453,115.7,2.91,264.36,20.35,136.16,86.97,,0
not defined yet,6:10:13:47:200050,37.288685,127.0645,112.9,3.13,261.55,21.09,137.23,116.73,,0
not defined yet,6:10:13:48:201055,37.288677,127.06446,110.1,3.79,257.52,21.96,139.28,120.41,,0
not defined yet,6:10:13:49:202044,37.28866,127.06441,106.9,4.62,242.17,23.06,141.63,125.54,,0
not defined yet,6:10:13:50:203084,37.28862,127.06437,103.6,5.72,215.54,24.55,144.93,142.38,,0
not defined yet,6:10:13:51:204064,37.288578,127.06437,100.7,4.8,189.73,25.0,150.48,169.46,,0
not defined yet,6:10:13:52:205043,37.28855,127.06437,97.2,3.03,168.48,24.29,154.61,-165.44,,0
not defined yet,6:10:13:53:206076,37.28854,127.064384,94.1,0.76,164.05,23.78,157.73,-144.7,,0
not defined yet,6:10:13:54:207077,37.288548,127.06436,90.5,3.37,269.01,23.22,157.89,-140.83,,0
not defined yet,6:10:13:55:208061,37.288532,127.06432,88.2,4.52,242.59,23.97,158.18,114.96,,0
not defined yet,6:10:13:56:209050,37.288506,127.06429,85.2,3.63,226.71,24.83,161.13,142.24,,0
not defined yet,6:10:13:57:210059,37.288486,127.06425,81.9,5.43,246.77,25.26,164.86,158.55,,0
not defined yet,6:10:13:58:211041,37.288467,127.06418,80.7,5.33,245.09,26.15,168.84,139.38,,0
not defined yet,6:10:13:59:212038,37.288445,127.06414,78.9,4.5,238.91,27.65,173.45,142.56,,0
not defined yet,6:10:14:0:213054,37.288425,127.064095,76.3,5.41,242.64,28.22,177.39,149.31,,0
not defined yet,6:10:14:1:214034,37.288406,127.064026,74.4,5.76,248.29,29.04,181.16,146.4,,0
not defined yet,6:10:14:4:216412,37.288387,127.06399,72.8,3.83,245.58,30.31,186.32,142.02,,0
